,Date,Open,Volume,price action_bearish,price action_bullish,Negativity,Neutrality,Positivity,Number of tweets
84,2020-05-04,46.733334,288556500,0,1,0.17584546091409106,0.6793214995306464,0.14483303549486984,100
85,2020-05-05,52.652668,254875500,0,0,0.0994015958310976,0.6693965339797026,0.23120186088682784,93
86,2020-05-06,51.766666,166848000,0,0,0.15021669390196862,0.6515953541556683,0.19818794624106814,102
87,2020-05-07,51.813999,172915500,0,0,0.13538661665353635,0.6525818986908609,0.21203148002462352,105
88,2020-05-08,52.917999,241297500,0,0,0.10561457079586252,0.6940987542412436,0.2002866768732265,121
89,2020-05-11,52.700668,247794000,0,0,0.22020398738731795,0.6180159348197701,0.16178007799134533,379
90,2020-05-12,55.133331,238603500,0,0,0.23095082910835807,0.6126264605446501,0.1564227133244883,350
91,2020-05-13,54.722,285982500,0,0,0.164734020622366,0.6524260836229918,0.1828398990891782,207
92,2020-05-14,52.0,205233000,0,0,0.15944367655478253,0.7055082925902553,0.13504802958072815,137
93,2020-05-15,52.689999,157776000,0,0,0.15017884372299964,0.6480785959757397,0.20174255513631179,98
94,2020-05-18,55.185333,174987000,0,0,0.17704188153632977,0.6720217409775175,0.15093638362106582,102
95,2020-05-19,54.344666,144547500,0,0,0.1260894461610487,0.6576029671859628,0.21630759609422062,123
96,2020-05-20,54.700001,109639500,0,0,0.1495995223966147,0.6859444066607774,0.16445606951191183,92
97,2020-05-21,54.400002,183819000,0,0,0.1080275360951419,0.6574168524758018,0.2345556094932986,85
98,2020-05-22,54.811333,149812500,0,0,0.12805978038109078,0.7070601035696693,0.1648801224762904,78
99,2020-05-26,55.633331,121345500,1,0,0.12367850461507778,0.6824286028878501,0.1938928845683741,70
100,2020-05-27,54.723999,173242500,0,0,0.13545992037015075,0.6398279744554893,0.22471210491601865,238
101,2020-05-28,54.234001,108834000,0,0,0.11271360512518402,0.6459142113067727,0.24137219135022678,82
102,2020-05-29,53.916668,176467500,0,1,0.11007004176884116,0.6229164259633861,0.2670135267634376,92
103,2020-06-01,57.200001,224092500,0,1,0.12963900286255245,0.6406270317039993,0.22973397045716848,89
104,2020-06-02,59.646667,203484000,0,0,0.14864051555433386,0.6639675610946555,0.18739193029580922,59
105,2020-06-03,59.208,119242500,0,0,0.10748272234890999,0.6876628208588883,0.20485445421765042,96
106,2020-06-04,59.325333,133315500,0,0,0.1304981276855807,0.7105424957141441,0.15895938328599937,160
107,2020-06-05,58.522667,117178500,0,0,0.13328299956140816,0.6719206470703645,0.19479635846901297,142
108,2020-06-08,61.266666,212620500,0,1,0.11495246941411257,0.6959359879787542,0.189111545302248,89
109,2020-06-09,62.667332,170823000,0,0,0.16665389695361582,0.6649175020644842,0.1684286044569781,99
110,2020-06-10,66.125336,278451000,0,0,0.12337805916950254,0.6392475566110329,0.2373743811595981,205
111,2020-06-11,66.013336,238747500,0,0,0.12249747823956725,0.6822562468852853,0.19524627171918638,140
112,2020-06-12,65.333336,251451000,0,0,0.16429618276878138,0.6656056256881745,0.1700981917188325,96
113,2020-06-15,61.186001,235458000,0,1,0.11719985513267454,0.6811769510403903,0.20162319596306752,93
114,2020-06-16,67.456665,210766500,0,0,0.15540596263278067,0.6595189957078702,0.18507504985064827,133
115,2020-06-17,65.847336,148362000,0,0,0.15283009248757018,0.6705307557753704,0.17663915140393333,115
116,2020-06-18,66.866669,146278500,0,0,0.1944922342305956,0.6693444693294199,0.13616329963493762,94
117,2020-06-19,67.518669,130195500,0,0,0.1666999694308,0.6631745839563101,0.17012543806892994,99
118,2020-06-22,66.66333,95436000,0,0,0.11907401397538533,0.6742200244603569,0.20670596587675896,123
119,2020-06-23,66.592003,95479500,0,0,0.15417231462843906,0.690631306055788,0.15519638051437587,106
120,2020-06-24,66.274002,164394000,0,0,0.18605981932058158,0.6679465479339617,0.14599363257636264,112
121,2020-06-25,63.618,138817500,0,0,0.13026508543162754,0.6281680016060879,0.2415669096830977,106
122,2020-06-26,66.318665,132823500,1,0,0.15673609527958154,0.6533857835884498,0.18987812679712676,116
123,2020-06-29,64.60067,135396000,0,0,0.1589837793411662,0.627649940831342,0.2133662811911544,104
124,2020-06-30,67.099998,253777500,0,1,0.1348743500683974,0.6255398361457583,0.23958581213882404,152
125,2020-07-01,72.199997,199903500,0,0,0.13695309492121155,0.6459116488042871,0.2171352532529684,220
126,2020-07-02,81.431999,258751500,0,0,0.1485356625618984,0.6227501807762831,0.22871415147617383,281
127,2020-07-06,85.112663,308548500,0,1,0.1606440147609116,0.6335946652493443,0.20576132115078716,202
128,2020-07-07,93.667336,322345500,0,0,0.1412817839520733,0.6632434316697698,0.19547478938430238,182
129,2020-07-08,93.666664,244669500,0,0,0.13397468471733343,0.6838371279854889,0.1821881898690985,158
130,2020-07-09,93.132668,175764000,0,0,0.14617013414143148,0.6992069849347602,0.15462287735537353,133
131,2020-07-10,93.066666,350064000,0,1,0.14109017384499908,0.6276424663251817,0.23126736035688322,246
132,2020-07-13,110.599998,584781000,0,0,0.15130266309350698,0.677406535553339,0.1712907989346442,373
133,2020-07-14,103.73333,351271500,0,0,0.08035092526802345,0.6743665608222277,0.24528251529053682,490
134,2020-07-15,102.866669,245517000,0,0,0.13083346403668222,0.6666871300520487,0.20247940212503182,290
135,2020-07-16,98.477333,214512000,0,0,0.15257859289553938,0.6890704446781323,0.1583509604998339,159
136,2020-07-17,100.896667,139950000,0,0,0.12817044531137756,0.64470591806517,0.22712363025929608,133
137,2020-07-20,101.267334,256821000,0,1,0.15830324233361015,0.6681919299199193,0.1735048274558632,164
138,2020-07-21,109.328667,241608000,0,0,0.11490595405116337,0.6853032283690922,0.19979081821728653,181
139,2020-07-22,106.599998,212416500,0,0,0.14066675138103535,0.6519438786256564,0.20738936718110798,405
140,2020-07-23,111.93,364927500,1,0,0.16286932288659098,0.6442029508995902,0.19292772384778617,306
141,2020-07-24,94.400665,290949000,0,0,0.1547513318868467,0.6441064244607234,0.20114224341321088,241
142,2020-07-27,95.666664,240730500,0,1,0.17324176773650526,0.6539049773503267,0.17285326073935148,149
143,2020-07-28,100.26667,237130500,0,0,0.17650791790968257,0.6319309797985369,0.19156109332874666,170
144,2020-07-29,100.066666,141403500,0,0,0.14935340047547643,0.6657693184690858,0.18487728215147198,123
145,2020-07-30,99.199997,114315000,0,0,0.15479385535384316,0.6550165584312964,0.1901895816289532,102
146,2020-07-31,101.0,183123000,1,0,0.13877738295821118,0.6504879483624197,0.2107346794977483,102
147,2020-08-03,96.613335,132139500,0,0,0.12010277294939567,0.7191893071030202,0.160707926996735,85
148,2020-08-04,99.667336,126225000,0,0,0.1240987281806452,0.6563400024343812,0.21956126340915982,91
149,2020-08-05,99.532669,74217000,0,0,0.15355065180155716,0.6752009071276376,0.17124844404390602,89
150,2020-08-06,99.388664,89884500,0,0,0.14928558054705912,0.6139403039625058,0.2367741162179648,110
151,2020-08-07,99.96933,133446000,0,0,0.14500309343649742,0.6118386884053019,0.24315821623918715,110
152,2020-08-10,96.533333,112834500,0,0,0.12821218721558839,0.6927287225089197,0.179059097840192,121
153,2020-08-11,93.066666,129387000,0,0,0.1513644660717806,0.6715040820823021,0.17713145140792125,148
154,2020-08-12,98.0,327441000,0,0,0.16967863501680633,0.6482411396974073,0.18208022576214927,208
155,2020-08-13,107.400002,306379500,0,0,0.13611906524862413,0.6874431204374378,0.17643781871501563,168
156,2020-08-14,110.999336,188664000,0,0,0.12346803465121334,0.6751664708669741,0.20136549889297803,124
157,2020-08-17,111.800003,303634500,0,1,0.11930830398693965,0.70298799227184,0.17770369990344007,293
158,2020-08-18,126.599335,247117500,0,0,0.1292745188185447,0.6790520247826807,0.19167345157861737,348
159,2020-08-19,124.333336,183079500,0,0,0.15680125908217496,0.6666788892775243,0.17651984932845613,234
160,2020-08-20,124.045334,309177000,0,1,0.1418962877200151,0.660700608165149,0.19740310981881656,301
161,2020-08-21,136.317337,322344000,0,0,0.13533431409481372,0.6832378109955621,0.1814278713361719,297
162,2020-08-24,141.751999,300954000,0,0,0.1460563004583475,0.6723341763293323,0.18160952208625092,166
163,2020-08-25,131.659332,159883500,0,1,0.12734280128097097,0.6932307171224149,0.17942648242553372,169
164,2020-08-26,137.333328,213591000,0,1,0.13887822423953197,0.6587270970946125,0.20239467767097416,198
165,2020-08-27,145.363998,355395000,0,0,0.13522292041285855,0.6807242924373631,0.18405278954388066,195
166,2020-08-28,153.007996,301218000,0,0,0.1379145050546361,0.6704806212783931,0.19160487170970208,214
167,2020-08-31,148.203339,355123200,0,1,0.14223769328662303,0.6595074289203352,0.19825487545212486,393
168,2020-09-01,167.380005,269523300,1,0,0.1484009949038594,0.6615609587497165,0.1900380438649803,291
169,2020-09-02,159.66333,288528300,0,0,0.14387773722659689,0.6836615504580532,0.1724607134855158,212
170,2020-09-03,135.743332,262788300,0,0,0.17742240842844273,0.634721738303896,0.1878558502562233,232
171,2020-09-04,134.270004,330965700,0,0,0.1703415883431132,0.6287309251788028,0.20092748510244857,219
172,2020-09-08,118.666664,346397100,0,0,0.2064823124297682,0.6184287953950903,0.17508889356287274,281
173,2020-09-09,118.866669,238397400,0,0,0.16871160090949577,0.6344398425673498,0.19684856305599324,219
174,2020-09-10,128.736664,254791800,0,0,0.15852048397745663,0.6575036710257367,0.18397584494235736,217
175,2020-09-11,127.313332,182152500,0,0,0.15666215288054217,0.6786673316993828,0.1646705153602191,180
176,2020-09-14,126.98333,249061800,0,1,0.13471466002034732,0.6366679774334564,0.22861736281301043,160
177,2020-09-15,145.520004,291894600,0,0,0.1577614468942001,0.6525489385044893,0.18968961220036698,171
178,2020-09-16,146.623337,216837900,0,0,0.18085162062649793,0.673704303014994,0.145444070156325,135
179,2020-09-17,138.53334,230337600,0,0,0.16755728075759765,0.6433764870143153,0.18906623485852303,166
180,2020-09-18,149.313339,259220400,0,0,0.11960760700409231,0.6666926240094946,0.21369976347820288,163
181,2020-09-21,151.043335,328430400,0,0,0.12974895385344726,0.6763264695435811,0.19392457704158272,234
182,2020-09-22,143.199997,238742400,0,0,0.1439448684616564,0.6720393502422765,0.18401578030255009,491
183,2020-09-23,135.053329,285222600,0,0,0.16303219290185328,0.6533359851950021,0.18363182197410266,471
184,2020-09-24,121.26667,289683300,0,0,0.15568759552474365,0.6705246569558132,0.17378774586161622,272
185,2020-09-25,131.156662,201625500,0,1,0.14526661727214155,0.6787897857302128,0.17594359116281427,189
186,2020-09-28,141.539993,149158800,0,0,0.1378332061019108,0.6825159839965278,0.17965080265519,153
187,2020-09-29,138.666672,150657900,0,0,0.11664007200181115,0.7039603369295079,0.17939958779762658,134
188,2020-09-30,140.440002,144436800,0,0,0.17900183291847774,0.658596301812215,0.16240186658244563,117
189,2020-10-01,146.919998,152224500,0,0,0.15873491740220447,0.6860035930416053,0.15526148228487996,142
190,2020-10-02,140.463333,214290000,0,0,0.13750645999218075,0.6519974951281845,0.21049604280042913,196
191,2020-10-05,141.116669,134168400,0,0,0.1189228413535717,0.6770228543430815,0.2040543034233181,117
192,2020-10-06,141.263336,147438900,0,0,0.11794220264881324,0.6766579698976074,0.20539982534854276,137
193,2020-10-07,139.956665,129383100,0,0,0.1761582211272758,0.6504745093307063,0.17336726610528275,136
194,2020-10-08,146.146667,121263300,1,0,0.10381553264908512,0.6979348302369726,0.19824963249482694,123
195,2020-10-09,143.376663,86777100,0,0,0.15419702423897647,0.6459238496891528,0.1998791245492736,112
196,2020-10-12,147.333328,116373300,0,0,0.12377583264807544,0.6776680596689549,0.1985561117668988,84
197,2020-10-13,147.78334,103391100,0,0,0.1608516741128656,0.6654793090443383,0.17366902286156846,113
198,2020-10-14,149.926666,143639100,0,0,0.14766833260462672,0.6753990787392612,0.17693258869657277,143
199,2020-10-15,150.103333,107017200,0,0,0.17357313349736658,0.641141871570842,0.18528499877051377,122
200,2020-10-16,151.479996,98327700,1,0,0.12560642493362578,0.6952108116294667,0.17918276184739312,157
